Event,Color,Style,Image_Path,Type
Birthday,Yellow,Streetwear,Birthday\Yellow\Streetwear\29-Ethical-colour-wedding-dresses-Sanyukta-Shrestha-scaled.jpg,Dress
Birthday,Yellow,Streetwear,Birthday\Yellow\Streetwear\Accessories\1000015188_ed055c80-488b-4898-bf71-12024e797992-3X.png,Accessory
Birthday,Yellow,Streetwear,Birthday\Yellow\Streetwear\Accessories\36e19f4717895f66c05715b80cc67215.jpg,Accessory
Birthday,Yellow,Streetwear,Birthday\Yellow\Streetwear\Accessories\90ea75f21889f3015274cf55a78a98d5.jpg,Accessory
Birthday,Yellow,Streetwear,Birthday\Yellow\Streetwear\Accessories\98fdc3ee8dc2e571c44f91713c899db0.jpg,Accessory
Birthday,Yellow,Vintage Vibes,Birthday\Yellow\Vintage Vibes\29-Ethical-colour-wedding-dresses-Sanyukta-Shrestha-scaled.jpg,Dress
Birthday,Yellow,Vintage Vibes,Birthday\Yellow\Vintage Vibes\Accessories\1000015188_ed055c80-488b-4898-bf71-12024e797992-3X.png,Accessory
Birthday,Yellow,Vintage Vibes,Birthday\Yellow\Vintage Vibes\Accessories\36e19f4717895f66c05715b80cc67215.jpg,Accessory
Birthday,Yellow,Vintage Vibes,Birthday\Yellow\Vintage Vibes\Accessories\90ea75f21889f3015274cf55a78a98d5.jpg,Accessory
Birthday,Yellow,Vintage Vibes,Birthday\Yellow\Vintage Vibes\Accessories\98fdc3ee8dc2e571c44f91713c899db0.jpg,Accessory
Concert,Black,Bold and Bright,Concert\Black\Bold and Bright\8c4cc807d58f4058337159beba695fdc.jpg,Dress
Concert,Black,Bold and Bright,Concert\Black\Bold and Bright\Accessories\512YVgx8ZCL._AC_UY1100_.jpg,Accessory
Concert,Black,Bold and Bright,Concert\Black\Bold and Bright\Accessories\71pb4i1n8dL._AC_UY300_.jpg,Accessory
Concert,Black,Bold and Bright,"Concert\Black\Bold and Bright\Accessories\71VxqfdC-qL._AC_UF1000,1000_QL80_.jpg",Accessory
Concert,Black,Bold and Bright,Concert\Black\Bold and Bright\Accessories\images.jpg,Accessory
Concert,Black,Casual Comfort,Concert\Black\Casual Comfort\8c4cc807d58f4058337159beba695fdc.jpg,Dress
Concert,Black,Casual Comfort,Concert\Black\Casual Comfort\Accessories\512YVgx8ZCL._AC_UY1100_.jpg,Accessory
Concert,Black,Casual Comfort,Concert\Black\Casual Comfort\Accessories\71pb4i1n8dL._AC_UY300_.jpg,Accessory
Concert,Black,Casual Comfort,"Concert\Black\Casual Comfort\Accessories\71VxqfdC-qL._AC_UF1000,1000_QL80_.jpg",Accessory
Concert,Black,Casual Comfort,Concert\Black\Casual Comfort\Accessories\images.jpg,Accessory
Concert,Black,Eco-Friendly Fashionista,Concert\Black\Eco-Friendly Fashionista\8c4cc807d58f4058337159beba695fdc.jpg,Dress
Concert,Black,Eco-Friendly Fashionista,Concert\Black\Eco-Friendly Fashionista\Accessories\512YVgx8ZCL._AC_UY1100_.jpg,Accessory
Concert,Black,Eco-Friendly Fashionista,Concert\Black\Eco-Friendly Fashionista\Accessories\71pb4i1n8dL._AC_UY300_.jpg,Accessory
Concert,Black,Eco-Friendly Fashionista,"Concert\Black\Eco-Friendly Fashionista\Accessories\71VxqfdC-qL._AC_UF1000,1000_QL80_.jpg",Accessory
Concert,Black,Eco-Friendly Fashionista,Concert\Black\Eco-Friendly Fashionista\Accessories\images.jpg,Accessory
Concert,Black,Minimalist Maven,Concert\Black\Minimalist Maven\8c4cc807d58f4058337159beba695fdc.jpg,Dress
Concert,Black,Minimalist Maven,Concert\Black\Minimalist Maven\Accessories\512YVgx8ZCL._AC_UY1100_.jpg,Accessory
Concert,Black,Minimalist Maven,Concert\Black\Minimalist Maven\Accessories\71pb4i1n8dL._AC_UY300_.jpg,Accessory
Concert,Black,Minimalist Maven,"Concert\Black\Minimalist Maven\Accessories\71VxqfdC-qL._AC_UF1000,1000_QL80_.jpg",Accessory
Concert,Black,Minimalist Maven,Concert\Black\Minimalist Maven\Accessories\images.jpg,Accessory
Concert,Black,Retro Futurism,Concert\Black\Retro Futurism\8c4cc807d58f4058337159beba695fdc.jpg,Dress
Concert,Black,Retro Futurism,Concert\Black\Retro Futurism\Accessories\512YVgx8ZCL._AC_UY1100_.jpg,Accessory
Concert,Black,Retro Futurism,Concert\Black\Retro Futurism\Accessories\71pb4i1n8dL._AC_UY300_.jpg,Accessory
Concert,Black,Retro Futurism,"Concert\Black\Retro Futurism\Accessories\71VxqfdC-qL._AC_UF1000,1000_QL80_.jpg",Accessory
Concert,Black,Retro Futurism,Concert\Black\Retro Futurism\Accessories\images.jpg,Accessory
Concert,Black,Streetwear,Concert\Black\Streetwear\8c4cc807d58f4058337159beba695fdc.jpg,Dress
Concert,Black,Streetwear,Concert\Black\Streetwear\Accessories\512YVgx8ZCL._AC_UY1100_.jpg,Accessory
Concert,Black,Streetwear,Concert\Black\Streetwear\Accessories\71pb4i1n8dL._AC_UY300_.jpg,Accessory
Concert,Black,Streetwear,"Concert\Black\Streetwear\Accessories\71VxqfdC-qL._AC_UF1000,1000_QL80_.jpg",Accessory
Concert,Black,Streetwear,Concert\Black\Streetwear\Accessories\images.jpg,Accessory
Concert,Black,Vintage Vibes,Concert\Black\Vintage Vibes\8c4cc807d58f4058337159beba695fdc.jpg,Dress
Concert,Black,Vintage Vibes,Concert\Black\Vintage Vibes\Accessories\512YVgx8ZCL._AC_UY1100_.jpg,Accessory
Concert,Black,Vintage Vibes,Concert\Black\Vintage Vibes\Accessories\71pb4i1n8dL._AC_UY300_.jpg,Accessory
Concert,Black,Vintage Vibes,"Concert\Black\Vintage Vibes\Accessories\71VxqfdC-qL._AC_UF1000,1000_QL80_.jpg",Accessory
Concert,Black,Vintage Vibes,Concert\Black\Vintage Vibes\Accessories\images.jpg,Accessory
Concert,Blue,Bold and Bright,Concert\Blue\Bold and Bright\Accessories\61+LanG8oRL._AC_UY1100_.jpg,Accessory
Concert,Blue,Bold and Bright,Concert\Blue\Bold and Bright\Accessories\61Us78ljbvL.jpg,Accessory
Concert,Blue,Bold and Bright,Concert\Blue\Bold and Bright\Accessories\a29f5c111b4018cfe509c3d5e7a5fc56.jpg,Accessory
Concert,Blue,Casual Comfort,Concert\Blue\Casual Comfort\Accessories\61+LanG8oRL._AC_UY1100_.jpg,Accessory
Concert,Blue,Casual Comfort,Concert\Blue\Casual Comfort\Accessories\61Us78ljbvL.jpg,Accessory
Concert,Blue,Casual Comfort,Concert\Blue\Casual Comfort\Accessories\a29f5c111b4018cfe509c3d5e7a5fc56.jpg,Accessory
Concert,Blue,Eco-Friendly Fashionista,Concert\Blue\Eco-Friendly Fashionista\Accessories\61+LanG8oRL._AC_UY1100_.jpg,Accessory
Concert,Blue,Eco-Friendly Fashionista,Concert\Blue\Eco-Friendly Fashionista\Accessories\61Us78ljbvL.jpg,Accessory
Concert,Blue,Eco-Friendly Fashionista,Concert\Blue\Eco-Friendly Fashionista\Accessories\a29f5c111b4018cfe509c3d5e7a5fc56.jpg,Accessory
Concert,Blue,Minimalist Maven,Concert\Blue\Minimalist Maven\Accessories\61+LanG8oRL._AC_UY1100_.jpg,Accessory
Concert,Blue,Minimalist Maven,Concert\Blue\Minimalist Maven\Accessories\61Us78ljbvL.jpg,Accessory
Concert,Blue,Minimalist Maven,Concert\Blue\Minimalist Maven\Accessories\a29f5c111b4018cfe509c3d5e7a5fc56.jpg,Accessory
Concert,Blue,Retro Futurism,Concert\Blue\Retro Futurism\Accessories\61+LanG8oRL._AC_UY1100_.jpg,Accessory
Concert,Blue,Retro Futurism,Concert\Blue\Retro Futurism\Accessories\61Us78ljbvL.jpg,Accessory
Concert,Blue,Retro Futurism,Concert\Blue\Retro Futurism\Accessories\a29f5c111b4018cfe509c3d5e7a5fc56.jpg,Accessory
Concert,Blue,Streetwear,Concert\Blue\Streetwear\Accessories\61+LanG8oRL._AC_UY1100_.jpg,Accessory
Concert,Blue,Streetwear,Concert\Blue\Streetwear\Accessories\61Us78ljbvL.jpg,Accessory
Concert,Blue,Streetwear,Concert\Blue\Streetwear\Accessories\a29f5c111b4018cfe509c3d5e7a5fc56.jpg,Accessory
Concert,Blue,Vintage Vibes,Concert\Blue\Vintage Vibes\Accessories\61+LanG8oRL._AC_UY1100_.jpg,Accessory
Concert,Blue,Vintage Vibes,Concert\Blue\Vintage Vibes\Accessories\61Us78ljbvL.jpg,Accessory
Concert,Blue,Vintage Vibes,Concert\Blue\Vintage Vibes\Accessories\a29f5c111b4018cfe509c3d5e7a5fc56.jpg,Accessory
Concert,Green,Bold and Bright,Concert\Green\Bold and Bright\Accessories\410QAa3yZaL._AC_UY1100_.jpg,Accessory
Concert,Green,Bold and Bright,Concert\Green\Bold and Bright\Accessories\b1590c23bcc0494850e8093a8d5c9e92.jpg,Accessory
Concert,Green,Bold and Bright,Concert\Green\Bold and Bright\Accessories\png-transparent-sandal-shoe-high-heeled-footwear-green-leather-sandals-leather-fashion-outdoor-shoe.png,Accessory
Concert,Green,Bold and Bright,Concert\Green\Bold and Bright\Etsy-ethical-wedding-dress.png,Dress
Concert,Green,Casual Comfort,Concert\Green\Casual Comfort\Accessories\410QAa3yZaL._AC_UY1100_.jpg,Accessory
Concert,Green,Casual Comfort,Concert\Green\Casual Comfort\Accessories\b1590c23bcc0494850e8093a8d5c9e92.jpg,Accessory
Concert,Green,Casual Comfort,Concert\Green\Casual Comfort\Accessories\png-transparent-sandal-shoe-high-heeled-footwear-green-leather-sandals-leather-fashion-outdoor-shoe.png,Accessory
Concert,Green,Casual Comfort,Concert\Green\Casual Comfort\Etsy-ethical-wedding-dress.png,Dress
Concert,Green,Eco-Friendly Fashionista,Concert\Green\Eco-Friendly Fashionista\Accessories\410QAa3yZaL._AC_UY1100_.jpg,Accessory
Concert,Green,Eco-Friendly Fashionista,Concert\Green\Eco-Friendly Fashionista\Accessories\b1590c23bcc0494850e8093a8d5c9e92.jpg,Accessory
Concert,Green,Eco-Friendly Fashionista,Concert\Green\Eco-Friendly Fashionista\Accessories\png-transparent-sandal-shoe-high-heeled-footwear-green-leather-sandals-leather-fashion-outdoor-shoe.png,Accessory
Concert,Green,Eco-Friendly Fashionista,Concert\Green\Eco-Friendly Fashionista\Etsy-ethical-wedding-dress.png,Dress
Concert,Green,Minimalist Maven,Concert\Green\Minimalist Maven\Accessories\410QAa3yZaL._AC_UY1100_.jpg,Accessory
Concert,Green,Minimalist Maven,Concert\Green\Minimalist Maven\Accessories\b1590c23bcc0494850e8093a8d5c9e92.jpg,Accessory
Concert,Green,Minimalist Maven,Concert\Green\Minimalist Maven\Accessories\png-transparent-sandal-shoe-high-heeled-footwear-green-leather-sandals-leather-fashion-outdoor-shoe.png,Accessory
Concert,Green,Minimalist Maven,Concert\Green\Minimalist Maven\Etsy-ethical-wedding-dress.png,Dress
Concert,Green,Retro Futurism,Concert\Green\Retro Futurism\Accessories\410QAa3yZaL._AC_UY1100_.jpg,Accessory
Concert,Green,Retro Futurism,Concert\Green\Retro Futurism\Accessories\b1590c23bcc0494850e8093a8d5c9e92.jpg,Accessory
Concert,Green,Retro Futurism,Concert\Green\Retro Futurism\Accessories\png-transparent-sandal-shoe-high-heeled-footwear-green-leather-sandals-leather-fashion-outdoor-shoe.png,Accessory
Concert,Green,Retro Futurism,Concert\Green\Retro Futurism\Etsy-ethical-wedding-dress.png,Dress
Concert,Green,Streetwear,Concert\Green\Streetwear\Accessories\410QAa3yZaL._AC_UY1100_.jpg,Accessory
Concert,Green,Streetwear,Concert\Green\Streetwear\Accessories\b1590c23bcc0494850e8093a8d5c9e92.jpg,Accessory
Concert,Green,Streetwear,Concert\Green\Streetwear\Accessories\png-transparent-sandal-shoe-high-heeled-footwear-green-leather-sandals-leather-fashion-outdoor-shoe.png,Accessory
Concert,Green,Streetwear,Concert\Green\Streetwear\Etsy-ethical-wedding-dress.png,Dress
Concert,Green,Vintage Vibes,Concert\Green\Vintage Vibes\Accessories\410QAa3yZaL._AC_UY1100_.jpg,Accessory
Concert,Green,Vintage Vibes,Concert\Green\Vintage Vibes\Accessories\b1590c23bcc0494850e8093a8d5c9e92.jpg,Accessory
Concert,Green,Vintage Vibes,Concert\Green\Vintage Vibes\Accessories\png-transparent-sandal-shoe-high-heeled-footwear-green-leather-sandals-leather-fashion-outdoor-shoe.png,Accessory
Concert,Green,Vintage Vibes,Concert\Green\Vintage Vibes\Etsy-ethical-wedding-dress.png,Dress
Concert,Orange,Bold and Bright,"Concert\Orange\Bold and Bright\Accessories\41QKBnrPwkL._SR600,315_PIWhiteStrip,BottomLeft,0,35_SCLZZZZZZZ_FMpng_BG255,255,255.png",Accessory
Concert,Orange,Bold and Bright,Concert\Orange\Bold and Bright\Accessories\710XWpEzxML._AC_UY1000_.jpg,Accessory
Concert,Orange,Bold and Bright,Concert\Orange\Bold and Bright\Accessories\bagorange.jpg.jpg,Accessory
Concert,Orange,Bold and Bright,Concert\Orange\Bold and Bright\Accessories\pngtree-vintage-brown-sunglasses-png-image_4458110.png,Accessory
Concert,Orange,Bold and Bright,Concert\Orange\Bold and Bright\Sustainably+Chic+_+Best+Sustainable+Fashion+Blogs+_+Sustainable+Eco+Friendly+Ethical+Wedding+Dresses+_+Leanne+Marshall.jpg,Dress
Concert,Orange,Casual Comfort,"Concert\Orange\Casual Comfort\Accessories\41QKBnrPwkL._SR600,315_PIWhiteStrip,BottomLeft,0,35_SCLZZZZZZZ_FMpng_BG255,255,255.png",Accessory
Concert,Orange,Casual Comfort,Concert\Orange\Casual Comfort\Accessories\710XWpEzxML._AC_UY1000_.jpg,Accessory
Concert,Orange,Casual Comfort,Concert\Orange\Casual Comfort\Accessories\bagorange.jpg.jpg,Accessory
Concert,Orange,Casual Comfort,Concert\Orange\Casual Comfort\Accessories\pngtree-vintage-brown-sunglasses-png-image_4458110.png,Accessory
Concert,Orange,Casual Comfort,Concert\Orange\Casual Comfort\Sustainably+Chic+_+Best+Sustainable+Fashion+Blogs+_+Sustainable+Eco+Friendly+Ethical+Wedding+Dresses+_+Leanne+Marshall.jpg,Dress
Concert,Orange,Eco-Friendly Fashionista,"Concert\Orange\Eco-Friendly Fashionista\Accessories\41QKBnrPwkL._SR600,315_PIWhiteStrip,BottomLeft,0,35_SCLZZZZZZZ_FMpng_BG255,255,255.png",Accessory
Concert,Orange,Eco-Friendly Fashionista,Concert\Orange\Eco-Friendly Fashionista\Accessories\710XWpEzxML._AC_UY1000_.jpg,Accessory
Concert,Orange,Eco-Friendly Fashionista,Concert\Orange\Eco-Friendly Fashionista\Accessories\bagorange.jpg.jpg,Accessory
Concert,Orange,Eco-Friendly Fashionista,Concert\Orange\Eco-Friendly Fashionista\Accessories\pngtree-vintage-brown-sunglasses-png-image_4458110.png,Accessory
Concert,Orange,Eco-Friendly Fashionista,Concert\Orange\Eco-Friendly Fashionista\Sustainably+Chic+_+Best+Sustainable+Fashion+Blogs+_+Sustainable+Eco+Friendly+Ethical+Wedding+Dresses+_+Leanne+Marshall.jpg,Dress
Concert,Orange,Minimalist Maven,"Concert\Orange\Minimalist Maven\Accessories\41QKBnrPwkL._SR600,315_PIWhiteStrip,BottomLeft,0,35_SCLZZZZZZZ_FMpng_BG255,255,255.png",Accessory
Concert,Orange,Minimalist Maven,Concert\Orange\Minimalist Maven\Accessories\710XWpEzxML._AC_UY1000_.jpg,Accessory
Concert,Orange,Minimalist Maven,Concert\Orange\Minimalist Maven\Accessories\bagorange.jpg.jpg,Accessory
Concert,Orange,Minimalist Maven,Concert\Orange\Minimalist Maven\Accessories\pngtree-vintage-brown-sunglasses-png-image_4458110.png,Accessory
Concert,Orange,Minimalist Maven,Concert\Orange\Minimalist Maven\Sustainably+Chic+_+Best+Sustainable+Fashion+Blogs+_+Sustainable+Eco+Friendly+Ethical+Wedding+Dresses+_+Leanne+Marshall.jpg,Dress
Concert,Orange,Retro Futurism,"Concert\Orange\Retro Futurism\Accessories\41QKBnrPwkL._SR600,315_PIWhiteStrip,BottomLeft,0,35_SCLZZZZZZZ_FMpng_BG255,255,255.png",Accessory
Concert,Orange,Retro Futurism,Concert\Orange\Retro Futurism\Accessories\710XWpEzxML._AC_UY1000_.jpg,Accessory
Concert,Orange,Retro Futurism,Concert\Orange\Retro Futurism\Accessories\bagorange.jpg.jpg,Accessory
Concert,Orange,Retro Futurism,Concert\Orange\Retro Futurism\Accessories\pngtree-vintage-brown-sunglasses-png-image_4458110.png,Accessory
Concert,Orange,Retro Futurism,Concert\Orange\Retro Futurism\Sustainably+Chic+_+Best+Sustainable+Fashion+Blogs+_+Sustainable+Eco+Friendly+Ethical+Wedding+Dresses+_+Leanne+Marshall.jpg,Dress
Concert,Orange,Streetwear,"Concert\Orange\Streetwear\Accessories\41QKBnrPwkL._SR600,315_PIWhiteStrip,BottomLeft,0,35_SCLZZZZZZZ_FMpng_BG255,255,255.png",Accessory
Concert,Orange,Streetwear,Concert\Orange\Streetwear\Accessories\710XWpEzxML._AC_UY1000_.jpg,Accessory
Concert,Orange,Streetwear,Concert\Orange\Streetwear\Accessories\bagorange.jpg.jpg,Accessory
Concert,Orange,Streetwear,Concert\Orange\Streetwear\Accessories\pngtree-vintage-brown-sunglasses-png-image_4458110.png,Accessory
Concert,Orange,Streetwear,Concert\Orange\Streetwear\Sustainably+Chic+_+Best+Sustainable+Fashion+Blogs+_+Sustainable+Eco+Friendly+Ethical+Wedding+Dresses+_+Leanne+Marshall.jpg,Dress
Concert,Orange,Vintage Vibes,"Concert\Orange\Vintage Vibes\Accessories\41QKBnrPwkL._SR600,315_PIWhiteStrip,BottomLeft,0,35_SCLZZZZZZZ_FMpng_BG255,255,255.png",Accessory
Concert,Orange,Vintage Vibes,Concert\Orange\Vintage Vibes\Accessories\710XWpEzxML._AC_UY1000_.jpg,Accessory
Concert,Orange,Vintage Vibes,Concert\Orange\Vintage Vibes\Accessories\bagorange.jpg.jpg,Accessory
Concert,Orange,Vintage Vibes,Concert\Orange\Vintage Vibes\Accessories\pngtree-vintage-brown-sunglasses-png-image_4458110.png,Accessory
Concert,Orange,Vintage Vibes,Concert\Orange\Vintage Vibes\Sustainably+Chic+_+Best+Sustainable+Fashion+Blogs+_+Sustainable+Eco+Friendly+Ethical+Wedding+Dresses+_+Leanne+Marshall.jpg,Dress
Concert,Purple,Bold and Bright,Concert\Purple\Bold and Bright\11.jpg,Dress
Concert,Purple,Bold and Bright,Concert\Purple\Bold and Bright\Accessories\656b1570f0645e5a551e8cc3-brilove-women-39-s-wedding-jewelry.jpg,Accessory
Concert,Purple,Bold and Bright,Concert\Purple\Bold and Bright\Accessories\png-transparent-handbag-wedding-dress-evening-gown-leather-handbags-purple-violet-fashion-thumbnail.png,Accessory
Concert,Purple,Bold and Bright,Concert\Purple\Bold and Bright\Accessories\purple-wedding-shoes-CBYFET.jpg,Accessory
Concert,Purple,Casual Comfort,Concert\Purple\Casual Comfort\11.jpg,Dress
Concert,Purple,Casual Comfort,Concert\Purple\Casual Comfort\Accessories\656b1570f0645e5a551e8cc3-brilove-women-39-s-wedding-jewelry.jpg,Accessory
Concert,Purple,Casual Comfort,Concert\Purple\Casual Comfort\Accessories\png-transparent-handbag-wedding-dress-evening-gown-leather-handbags-purple-violet-fashion-thumbnail.png,Accessory
Concert,Purple,Casual Comfort,Concert\Purple\Casual Comfort\Accessories\purple-wedding-shoes-CBYFET.jpg,Accessory
Concert,Purple,Eco-Friendly Fashionista,Concert\Purple\Eco-Friendly Fashionista\11.jpg,Dress
Concert,Purple,Eco-Friendly Fashionista,Concert\Purple\Eco-Friendly Fashionista\Accessories\656b1570f0645e5a551e8cc3-brilove-women-39-s-wedding-jewelry.jpg,Accessory
Concert,Purple,Eco-Friendly Fashionista,Concert\Purple\Eco-Friendly Fashionista\Accessories\png-transparent-handbag-wedding-dress-evening-gown-leather-handbags-purple-violet-fashion-thumbnail.png,Accessory
Concert,Purple,Eco-Friendly Fashionista,Concert\Purple\Eco-Friendly Fashionista\Accessories\purple-wedding-shoes-CBYFET.jpg,Accessory
Concert,Purple,Minimalist Maven,Concert\Purple\Minimalist Maven\11.jpg,Dress
Concert,Purple,Minimalist Maven,Concert\Purple\Minimalist Maven\Accessories\656b1570f0645e5a551e8cc3-brilove-women-39-s-wedding-jewelry.jpg,Accessory
Concert,Purple,Minimalist Maven,Concert\Purple\Minimalist Maven\Accessories\png-transparent-handbag-wedding-dress-evening-gown-leather-handbags-purple-violet-fashion-thumbnail.png,Accessory
Concert,Purple,Minimalist Maven,Concert\Purple\Minimalist Maven\Accessories\purple-wedding-shoes-CBYFET.jpg,Accessory
Concert,Purple,Retro Futurism,Concert\Purple\Retro Futurism\11.jpg,Dress
Concert,Purple,Retro Futurism,Concert\Purple\Retro Futurism\Accessories\656b1570f0645e5a551e8cc3-brilove-women-39-s-wedding-jewelry.jpg,Accessory
Concert,Purple,Retro Futurism,Concert\Purple\Retro Futurism\Accessories\png-transparent-handbag-wedding-dress-evening-gown-leather-handbags-purple-violet-fashion-thumbnail.png,Accessory
Concert,Purple,Retro Futurism,Concert\Purple\Retro Futurism\Accessories\purple-wedding-shoes-CBYFET.jpg,Accessory
Concert,Purple,Streetwear,Concert\Purple\Streetwear\11.jpg,Dress
Concert,Purple,Streetwear,Concert\Purple\Streetwear\Accessories\656b1570f0645e5a551e8cc3-brilove-women-39-s-wedding-jewelry.jpg,Accessory
Concert,Purple,Streetwear,Concert\Purple\Streetwear\Accessories\png-transparent-handbag-wedding-dress-evening-gown-leather-handbags-purple-violet-fashion-thumbnail.png,Accessory
Concert,Purple,Streetwear,Concert\Purple\Streetwear\Accessories\purple-wedding-shoes-CBYFET.jpg,Accessory
Concert,Purple,Vintage Vibes,Concert\Purple\Vintage Vibes\11.jpg,Dress
Concert,Purple,Vintage Vibes,Concert\Purple\Vintage Vibes\Accessories\656b1570f0645e5a551e8cc3-brilove-women-39-s-wedding-jewelry.jpg,Accessory
Concert,Purple,Vintage Vibes,Concert\Purple\Vintage Vibes\Accessories\png-transparent-handbag-wedding-dress-evening-gown-leather-handbags-purple-violet-fashion-thumbnail.png,Accessory
Concert,Purple,Vintage Vibes,Concert\Purple\Vintage Vibes\Accessories\purple-wedding-shoes-CBYFET.jpg,Accessory
Concert,Red,Bold and Bright,Concert\Red\Bold and Bright\23642544a04b8c36f98f7f07863407a2.jpg,Dress
Concert,Red,Bold and Bright,Concert\Red\Bold and Bright\e15e4cc654d7879a7c253f257be115e1.jpg,Dress
Concert,Red,Bold and Bright,Concert\Red\Bold and Bright\sustainable-summer-dresses.jpg,Dress
Concert,Red,Casual Comfort,Concert\Red\Casual Comfort\23642544a04b8c36f98f7f07863407a2.jpg,Dress
Concert,Red,Casual Comfort,Concert\Red\Casual Comfort\e15e4cc654d7879a7c253f257be115e1.jpg,Dress
Concert,Red,Casual Comfort,Concert\Red\Casual Comfort\sustainable-summer-dresses.jpg,Dress
Concert,Red,Eco-Friendly Fashionista,Concert\Red\Eco-Friendly Fashionista\23642544a04b8c36f98f7f07863407a2.jpg,Dress
Concert,Red,Eco-Friendly Fashionista,Concert\Red\Eco-Friendly Fashionista\e15e4cc654d7879a7c253f257be115e1.jpg,Dress
Concert,Red,Eco-Friendly Fashionista,Concert\Red\Eco-Friendly Fashionista\sustainable-summer-dresses.jpg,Dress
Concert,Red,Minimalist Maven,Concert\Red\Minimalist Maven\23642544a04b8c36f98f7f07863407a2.jpg,Dress
Concert,Red,Minimalist Maven,Concert\Red\Minimalist Maven\e15e4cc654d7879a7c253f257be115e1.jpg,Dress
Concert,Red,Minimalist Maven,Concert\Red\Minimalist Maven\sustainable-summer-dresses.jpg,Dress
Concert,Red,Retro Futurism,Concert\Red\Retro Futurism\23642544a04b8c36f98f7f07863407a2.jpg,Dress
Concert,Red,Retro Futurism,Concert\Red\Retro Futurism\e15e4cc654d7879a7c253f257be115e1.jpg,Dress
Concert,Red,Retro Futurism,Concert\Red\Retro Futurism\sustainable-summer-dresses.jpg,Dress
Concert,Red,Streetwear,Concert\Red\Streetwear\23642544a04b8c36f98f7f07863407a2.jpg,Dress
Concert,Red,Streetwear,Concert\Red\Streetwear\e15e4cc654d7879a7c253f257be115e1.jpg,Dress
Concert,Red,Streetwear,Concert\Red\Streetwear\sustainable-summer-dresses.jpg,Dress
Concert,Red,Vintage Vibes,Concert\Red\Vintage Vibes\23642544a04b8c36f98f7f07863407a2.jpg,Dress
Concert,Red,Vintage Vibes,Concert\Red\Vintage Vibes\e15e4cc654d7879a7c253f257be115e1.jpg,Dress
Concert,Red,Vintage Vibes,Concert\Red\Vintage Vibes\sustainable-summer-dresses.jpg,Dress
Concert,Yellow,Bold and Bright,Concert\Yellow\Bold and Bright\29-Ethical-colour-wedding-dresses-Sanyukta-Shrestha-scaled.jpg,Dress
Concert,Yellow,Bold and Bright,Concert\Yellow\Bold and Bright\Accessories\1000015188_ed055c80-488b-4898-bf71-12024e797992-3X.png,Accessory
Concert,Yellow,Bold and Bright,Concert\Yellow\Bold and Bright\Accessories\36e19f4717895f66c05715b80cc67215.jpg,Accessory
Concert,Yellow,Bold and Bright,Concert\Yellow\Bold and Bright\Accessories\90ea75f21889f3015274cf55a78a98d5.jpg,Accessory
Concert,Yellow,Bold and Bright,Concert\Yellow\Bold and Bright\Accessories\98fdc3ee8dc2e571c44f91713c899db0.jpg,Accessory
Concert,Yellow,Casual Comfort,Concert\Yellow\Casual Comfort\29-Ethical-colour-wedding-dresses-Sanyukta-Shrestha-scaled.jpg,Dress
Concert,Yellow,Casual Comfort,Concert\Yellow\Casual Comfort\Accessories\1000015188_ed055c80-488b-4898-bf71-12024e797992-3X.png,Accessory
Concert,Yellow,Casual Comfort,Concert\Yellow\Casual Comfort\Accessories\36e19f4717895f66c05715b80cc67215.jpg,Accessory
Concert,Yellow,Casual Comfort,Concert\Yellow\Casual Comfort\Accessories\90ea75f21889f3015274cf55a78a98d5.jpg,Accessory
Concert,Yellow,Casual Comfort,Concert\Yellow\Casual Comfort\Accessories\98fdc3ee8dc2e571c44f91713c899db0.jpg,Accessory
Concert,Yellow,Eco-Friendly Fashionista,Concert\Yellow\Eco-Friendly Fashionista\29-Ethical-colour-wedding-dresses-Sanyukta-Shrestha-scaled.jpg,Dress
Concert,Yellow,Eco-Friendly Fashionista,Concert\Yellow\Eco-Friendly Fashionista\Accessories\1000015188_ed055c80-488b-4898-bf71-12024e797992-3X.png,Accessory
Concert,Yellow,Eco-Friendly Fashionista,Concert\Yellow\Eco-Friendly Fashionista\Accessories\36e19f4717895f66c05715b80cc67215.jpg,Accessory
Concert,Yellow,Eco-Friendly Fashionista,Concert\Yellow\Eco-Friendly Fashionista\Accessories\90ea75f21889f3015274cf55a78a98d5.jpg,Accessory
Concert,Yellow,Eco-Friendly Fashionista,Concert\Yellow\Eco-Friendly Fashionista\Accessories\98fdc3ee8dc2e571c44f91713c899db0.jpg,Accessory
Concert,Yellow,Minimalist Maven,Concert\Yellow\Minimalist Maven\29-Ethical-colour-wedding-dresses-Sanyukta-Shrestha-scaled.jpg,Dress
Concert,Yellow,Minimalist Maven,Concert\Yellow\Minimalist Maven\Accessories\1000015188_ed055c80-488b-4898-bf71-12024e797992-3X.png,Accessory
Concert,Yellow,Minimalist Maven,Concert\Yellow\Minimalist Maven\Accessories\36e19f4717895f66c05715b80cc67215.jpg,Accessory
Concert,Yellow,Minimalist Maven,Concert\Yellow\Minimalist Maven\Accessories\90ea75f21889f3015274cf55a78a98d5.jpg,Accessory
Concert,Yellow,Minimalist Maven,Concert\Yellow\Minimalist Maven\Accessories\98fdc3ee8dc2e571c44f91713c899db0.jpg,Accessory
Concert,Yellow,Retro Futurism,Concert\Yellow\Retro Futurism\29-Ethical-colour-wedding-dresses-Sanyukta-Shrestha-scaled.jpg,Dress
